#,Player,OPS,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,SLG,BB,HBP,SO,GDP,OBP,SF,SH,SBATT
14,Cade Belyeu,1.578,0.435,8-8,23,12,10,1,1,4,15,0.999,4,8,4,0,0.579,3,0,3-3
30,Robbie Lavey,1.201,0.394,9-8,33,9,13,2,0,3,13,0.727,5,0,7,2,0.474,0,0,1-1
31,Ethan Gibson,1.042,0.3,13-13,40,22,12,4,1,1,10,0.525,17,1,11,0,0.517,0,0,6-6
99,Gavin Miller,0.9,0.25,7-6,24,5,6,1,1,1,2,0.5,4,2,6,1,0.4,0,0,1-1
9,Johnnie Lopez,0.862,0.286,14-13,49,13,14,2,0,2,12,0.449,12,0,15,0,0.413,2,2,6-8
8,Tommy Roldan,0.837,0.283,14-14,46,16,13,1,1,1,15,0.413,8,4,10,1,0.424,1,0,0-0
99,James Taussig,0.834,0.324,10-8,34,6,11,2,0,0,3,0.382,6,2,10,0,0.452,0,0,4-5
32,David Wiley,0.831,0.292,7-6,24,4,7,0,0,1,6,0.417,3,2,5,0,0.414,0,0,1-1
24,Colby Wallace,0.825,0.313,5-4,16,4,5,1,0,0,4,0.375,3,1,0,0,0.45,0,0,1-1
2,Ryan Wynn,0.788,0.303,9-7,33,5,10,2,0,1,7,0.455,0,2,9,1,0.333,1,0,0-1
18,Cale Stricklin,0.763,0.242,13-12,33,7,8,1,0,0,7,0.273,15,1,9,1,0.49,0,0,0-0
27,Sam Mummau,0.762,0.214,10-9,28,7,6,2,1,0,5,0.357,9,0,9,1,0.405,0,0,1-1
6,Landon Bruce,0.715,0.235,9-5,17,4,4,0,0,0,2,0.235,7,1,7,0,0.48,0,0,3-3
11,Jack McMullan,0.649,0.211,9-4,19,3,4,2,0,0,2,0.316,3,1,9,0,0.333,1,0,0-0
99,Matthew Sicoli,0.446,0.091,7-6,22,6,2,0,0,0,2,0.091,8,1,6,2,0.355,0,0,4-4
3,Nick Parham,0.306,0.071,4-4,14,1,1,0,0,0,3,0.071,2,1,6,0,0.235,0,0,0-0
99,Macho Santiago,0,0,3-1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0-0
99,Ashur Caraher,0,0,1-0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0
